Cultivar	Wild
030-1	Improved	
08-64	Improved	
1101	Improved	
1121	Improved	
1127	Improved	
11430	Improved	
1145	Improved	
1205A	Improved	
1313	Improved	
140	Improved	
150-4	Improved	
1538	Improved	
1610	Improved	
1614	Improved	
17564	Improved	
18	Improved	
18-599	Improved	
196	Improved	
200-24-13413	Improved	
2005	Improved	
2005-4	Improved	
200B	Improved	
20564	Improved	
207	Improved	
20762	Improved	
20837	Improved	
2369	Improved	
29MIBZ2	Improved	
2FACC	Improved	
2MA22	Improved	
3189	Improved	
32	Improved	
3335	Improved	
3489a	Improved	
3514	Improved	
3H2	Improved	
3IBZ2	Improved	
4003	Improved	
411	Improved	
433-7	Improved	
441950	Improved	
444	Improved	
4676A	Improved	
468-3	Improved	
4722	Improved	
4936	Improved	
4F1	Improved	
4N506	Improved	
5023	Improved	
5032	Improved	
5707	Improved	
6	Improved	
6103	Improved	
619	Improved	
624	Improved	
680	Improved	
68122	Improved	
68139	Improved	
68202	Improved	
697	Improved	
698-3	Improved	
6M502	Improved	
7026B	Improved	
707	Improved	
7146	Improved	
72-125	Improved	
7236	Improved	
7327	Improved	
740	Improved	
743	Improved	
75-14gao	Improved	
75-24	Improved	
75-364	Improved	
757	Improved	
764	Improved	
77	Improved	
779	Improved	
78002A	Improved	
78004	Improved	
78010	Improved	
78371A	Improved	
785	Improved	
78551S	Improved	
78599	Improved	
787	Improved	
7884	Improved	
790	Improved	
79028	Improved	
7903E	Improved	
79131	Improved	
792	Improved	
794	Improved	
795	Improved	
802	Improved	
806A	Improved	
807	Improved	
807D	Improved	
811A	Improved	
82huangzao4	Improved	
832	Improved	
83IBI3	Improved	
84-126-15-1	Improved	
85bai64	Improved	
87001	Improved	
8701	Improved	
87916W	Improved	
897	Improved	
8982	Improved	
9058	Improved	
9101-7	Improved	
91huang10	Improved	
91huang15	Improved	
91huang5	Improved	
926	Improved	
928	Improved	
92huang40	Improved	
953	Improved	
96201	Improved	
9702	Improved	
9706	Improved	
9710	Improved	
98F1	Improved	
99122	Improved	
A272	Improved	
A554	Improved	
A619	Improved	
A632	Improved	
A679	Improved	
A801	Improved	
Ay3566	Improved	
Ay420	Improved	
B09	Improved	
B100	Improved	
B102	Improved	
B12	Improved	
B14	Improved	
B37	Improved	
B394	Improved	
B4	Improved	
B47	Improved	
B68	Improved	
B7	Improved	
B73	Improved	
B76	Improved	
B8	Improved	
B95	Improved	
B97	Improved	
B98	Improved	
bai197	Improved	
baihe43	Improved	
baiU8112	Improved	
bao3040	Improved	
BC4B	Improved	
BCC03	Improved	
Beck	Improved	
ben7884	Improved	
BKN009	Landrace	
BKN010	Landrace	
BKN011	Landrace	
BKN014	Landrace	
BKN015	Landrace	
BKN016	Landrace	
BKN017	Landrace	
BKN018	Landrace	
BKN019	Landrace	
BKN020	Landrace	
BKN022	Landrace	
BKN023	Landrace	
BKN025	Landrace	
BKN026	Landrace	
BKN027	Landrace	
BKN029	Landrace	
BKN030	Landrace	
BKN031	Landrace	
BKN032	Landrace	
BKN033	Landrace	
BKN034	Landrace	
BKN035	Landrace	
BKN040	Landrace	
BM	Improved	
BS110	Improved	
BT1	Improved	
C103	Improved	
C13	Improved	
C166	Improved	
C521	Improved	
C8605-2	Improved	
cai11-8	Improved	
CAU178	Improved	
CAU478	Improved	
CAU5003	Improved	
CAUCHANG72	Improved	
CAUMo17	Improved	
CAUZHENG58	Improved	
chang3	Improved	
chang69	Improved	
chang72	Improved	
chang7daxian1	Improved	
changD	Improved	
changK	Improved	
chaoxianbai	Improved	
chen322	Improved	
cheng18	Improved	
cheng435	Improved	
cheng698-3	Improved	
chengzi108	Improved	
chengzi2142	Improved	
chi545	Improved	
chihuang14	Improved	
chihuang32	Improved	
chong72	Improved	
CM105	Improved	
CML103	Improved	
CML103-run248	Improved	
CML125-2pianma	Improved	
CML133	Improved	
CML192	Improved	
CML202	Improved	
CML206	Improved	
CML228	Improved	
CML247	Improved	
CML277	Improved	
CML312SR	Improved	
CML322	Improved	
CML330	Improved	
CML333	Improved	
CML341	Improved	
CML411	Improved	
CML418	Improved	
CML479	Improved	
CML504	Improved	
CML505	Improved	
CML511	Improved	
CML52	Improved	
CML58	Improved	
CML69	Improved	
CML84	Improved	
CML85	Improved	
CML96	Improved	
CML99	Improved	
CN104	Improved	
CN165	Improved	
Co109	Improved	
CR14	Improved	
CR1HT	Improved	
CT109	Improved	
CT52C	Improved	
Cwu215B	Improved	
D1049	Improved	
D1051	Improved	
D1139	Improved	
d140	Improved	
D15	Improved	
D20	Improved	
D23	Improved	
D33A	Improved	
D340	Improved	
D619	Improved	
D729	Improved	
D801	Improved	
D854	Improved	
D856	Improved	
D857	Improved	
D864	Improved	
D869	Improved	
D88	Improved	
D881	Improved	
D883	Improved	
D886	Improved	
D892	Improved	
D978	Improved	
da255	Improved	
dai6	Improved	
daMO	Improved	
dan3115	Improved	
dan340	Improved	
dan598	Improved	
dan599	Improved	
dan9046	Improved	
dan9064	Improved	
danhuang02	Improved	
daqing133	Improved	
De811	Improved	
DF20	Improved	
DF24	Improved	
DF27	Improved	
DF32	Improved	
DH138	Improved	
DH149	Improved	
DH40	Improved	
DH65232	Improved	
DH65232-DH9	Improved	
DJ7	Improved	
DM07	Improved	
DM101B	Improved	
dong327	Improved	
dupl-178	Improved	
dupl-478	Improved	
dupl-5003	Improved	
dupl-Zheng58	Improved	
duzi	Improved	
E200	Improved	
e220	Improved	
E28	Improved	
E588	Improved	
E600	Improved	
E601	Improved	
E8501	Improved	
equn3	Improved	
equn4	Improved	
ernan24	Improved	
ES40	Improved	
F42	Improved	
F7	Improved	
F7584	Improved	
F939	Improved	
fangyin	Improved	
fanrong2	Improved	
FAP1360A	Improved	
FAPW	Improved	
FBHJ	Improved	
FC-13	Improved	
Feb-48	Improved	
fengke1	Improved	
FR14	Improved	
fu8521	Improved	
fu8527	Improved	
fu8529	Improved	
fu8538	Improved	
fu8701	Improved	
fu96	Improved	
fusheA	Improved	
gan41	Improved	
GN4095	Improved	
guan17-1	Improved	
guangyou5	Improved	
GY3	Improved	
H105W	Improved	
H114	Improved	
H127	Improved	
H16	Improved	
H2	Improved	
H21	Improved	
H66-6	Improved	
H84	Improved	
H8431	Improved	
H99	Improved	
hai014	Improved	
hai1134	Improved	
hai9-21	Improved	
han21	Improved	
han49	Improved	
HB8229	Improved	
HBAI	Improved	
HD568	Improved	
Hda-5	Improved	
he344	Improved	
HHe01	Improved	
HP301	Improved	
hu803	Improved	
hua160	Improved	
huangC	Improved	
huangchanga	Improved	
huangchangb	Improved	
huangyesi	Improved	
huangyesi3	Improved	
huangzaosi	Improved	
huo17	Improved	
huobai	Improved	
huotanghuang	Improved	
huotanghuang17	Improved	
IA5125	Improved	
IB014	Improved	
IB02	Improved	
IBB14	Improved	
IBB15	Improved	
IBC2	Improved	
Il14H	Improved	
J8606	Improved	
ji4112	Improved	
ji432	Improved	
ji434	Improved	
ji444	Improved	
ji53	Improved	
ji533	Improved	
ji63	Improved	
ji833	Improved	
ji846	Improved	
ji853	Improved	
ji870	Improved	
jian1495a	Improved	
jian1495b	Improved	
jiao05	Improved	
jiao3	Improved	
jiao51	Improved	
jingnuo2	Improved	
jinsui54	Improved	
jiu138-5	Improved	
