ID	Species	Category
030-1	Z. mays spp. Mays	Improved
08-64	Z. mays spp. Mays	Improved
1101	Z. mays spp. Mays	Improved
1121	Z. mays spp. Mays	Improved
1127	Z. mays spp. Mays	Improved
11430	Z. mays spp. Mays	Improved
1145	Z. mays spp. Mays	Improved
1205A	Z. mays spp. Mays	Improved
1313	Z. mays spp. Mays	Improved
140	Z. mays spp. Mays	Improved
150-4	Z. mays spp. Mays	Improved
1538	Z. mays spp. Mays	Improved
1610	Z. mays spp. Mays	Improved
1614	Z. mays spp. Mays	Improved
17564	Z. mays spp. Mays	Improved
18	Z. mays spp. Mays	Improved
18-599	Z. mays spp. Mays	Improved
196	Z. mays spp. Mays	Improved
200-24-13413	Z. mays spp. Mays	Improved
2005	Z. mays spp. Mays	Improved
2005-4	Z. mays spp. Mays	Improved
200B	Z. mays spp. Mays	Improved
20564	Z. mays spp. Mays	Improved
207	Z. mays spp. Mays	Improved
20762	Z. mays spp. Mays	Improved
20837	Z. mays spp. Mays	Improved
2369	Z. mays spp. Mays	Improved
29MIBZ2	Z. mays spp. Mays	Improved
2FACC	Z. mays spp. Mays	Improved
2MA22	Z. mays spp. Mays	Improved
3189	Z. mays spp. Mays	Improved
32	Z. mays spp. Mays	Improved
3335	Z. mays spp. Mays	Improved
3489a	Z. mays spp. Mays	Improved
3514	Z. mays spp. Mays	Improved
3H2	Z. mays spp. Mays	Improved
3IBZ2	Z. mays spp. Mays	Improved
4003	Z. mays spp. Mays	Improved
411	Z. mays spp. Mays	Improved
433-7	Z. mays spp. Mays	Improved
441950	Z. mays spp. Mays	Improved
444	Z. mays spp. Mays	Improved
4676A	Z. mays spp. Mays	Improved
468-3	Z. mays spp. Mays	Improved
4722	Z. mays spp. Mays	Improved
4936	Z. mays spp. Mays	Improved
4F1	Z. mays spp. Mays	Improved
4N506	Z. mays spp. Mays	Improved
5023	Z. mays spp. Mays	Improved
5032	Z. mays spp. Mays	Improved
5707	Z. mays spp. Mays	Improved
6	Z. mays spp. Mays	Improved
6103	Z. mays spp. Mays	Improved
619	Z. mays spp. Mays	Improved
624	Z. mays spp. Mays	Improved
680	Z. mays spp. Mays	Improved
68122	Z. mays spp. Mays	Improved
68139	Z. mays spp. Mays	Improved
68202	Z. mays spp. Mays	Improved
697	Z. mays spp. Mays	Improved
698-3	Z. mays spp. Mays	Improved
6M502	Z. mays spp. Mays	Improved
7026B	Z. mays spp. Mays	Improved
707	Z. mays spp. Mays	Improved
7146	Z. mays spp. Mays	Improved
72-125	Z. mays spp. Mays	Improved
7236	Z. mays spp. Mays	Improved
7327	Z. mays spp. Mays	Improved
740	Z. mays spp. Mays	Improved
743	Z. mays spp. Mays	Improved
75-14gao	Z. mays spp. Mays	Improved
75-24	Z. mays spp. Mays	Improved
75-364	Z. mays spp. Mays	Improved
757	Z. mays spp. Mays	Improved
764	Z. mays spp. Mays	Improved
77	Z. mays spp. Mays	Improved
779	Z. mays spp. Mays	Improved
