file	chr	start	end
./data/chr1-1-10000000.snp.RData	chr1	1	10000000
./data/chr1-10000001-20000000.snp.RData	chr1	10000001	20000000
./data/chr1-20000001-30000000.snp.RData	chr1	20000001	30000000
./data/chr1-30000001-40000000.snp.RData	chr1	30000001	40000000
./data/chr1-40000001-50000000.snp.RData	chr1	40000001	50000000
./data/chr1-50000001-60000000.snp.RData	chr1	50000001	60000000
./data/chr1-60000001-70000000.snp.RData	chr1	60000001	70000000
./data/chr1-70000001-80000000.snp.RData	chr1	70000001	80000000
./data/chr1-80000001-90000000.snp.RData	chr1	80000001	90000000
./data/chr1-90000001-100000000.snp.RData	chr1	90000001	100000000
./data/chr1-100000001-110000000.snp.RData	chr1	100000001	110000000
./data/chr1-110000001-120000000.snp.RData	chr1	110000001	120000000
./data/chr1-120000001-130000000.snp.RData	chr1	120000001	130000000
./data/chr1-130000001-140000000.snp.RData	chr1	130000001	140000000
./data/chr1-140000001-150000000.snp.RData	chr1	140000001	150000000
./data/chr1-150000001-160000000.snp.RData	chr1	150000001	160000000
./data/chr1-160000001-170000000.snp.RData	chr1	160000001	170000000
./data/chr1-170000001-180000000.snp.RData	chr1	170000001	180000000
./data/chr1-180000001-190000000.snp.RData	chr1	180000001	190000000
./data/chr1-190000001-200000000.snp.RData	chr1	190000001	200000000
./data/chr1-200000001-210000000.snp.RData	chr1	200000001	210000000
./data/chr1-210000001-220000000.snp.RData	chr1	210000001	220000000
./data/chr1-220000001-230000000.snp.RData	chr1	220000001	230000000
./data/chr1-230000001-240000000.snp.RData	chr1	230000001	240000000
./data/chr1-240000001-250000000.snp.RData	chr1	240000001	250000000
./data/chr1-250000001-260000000.snp.RData	chr1	250000001	260000000
./data/chr1-260000001-270000000.snp.RData	chr1	260000001	270000000
./data/chr1-270000001-280000000.snp.RData	chr1	270000001	280000000
./data/chr1-280000001-290000000.snp.RData	chr1	280000001	290000000
./data/chr1-290000001-300000000.snp.RData	chr1	290000001	300000000
./data/chr1-300000001-306971073.snp.RData	chr1	300000001	306971073
./data/chr2-1-10000000.snp.RData	chr2	1	10000000
./data/chr2-10000001-20000000.snp.RData	chr2	10000001	20000000
./data/chr2-20000001-30000000.snp.RData	chr2	20000001	30000000
./data/chr2-30000001-40000000.snp.RData	chr2	30000001	40000000
./data/chr2-40000001-50000000.snp.RData	chr2	40000001	50000000
./data/chr2-50000001-60000000.snp.RData	chr2	50000001	60000000
./data/chr2-60000001-70000000.snp.RData	chr2	60000001	70000000
./data/chr2-70000001-80000000.snp.RData	chr2	70000001	80000000
./data/chr2-80000001-90000000.snp.RData	chr2	80000001	90000000
./data/chr2-90000001-100000000.snp.RData	chr2	90000001	100000000
./data/chr2-100000001-110000000.snp.RData	chr2	100000001	110000000
./data/chr2-110000001-120000000.snp.RData	chr2	110000001	120000000
./data/chr2-120000001-130000000.snp.RData	chr2	120000001	130000000
./data/chr2-130000001-140000000.snp.RData	chr2	130000001	140000000
./data/chr2-140000001-150000000.snp.RData	chr2	140000001	150000000
./data/chr2-150000001-160000000.snp.RData	chr2	150000001	160000000
./data/chr2-160000001-170000000.snp.RData	chr2	160000001	170000000
./data/chr2-170000001-180000000.snp.RData	chr2	170000001	180000000
./data/chr2-180000001-190000000.snp.RData	chr2	180000001	190000000
./data/chr2-190000001-200000000.snp.RData	chr2	190000001	200000000
./data/chr2-200000001-210000000.snp.RData	chr2	200000001	210000000
./data/chr2-210000001-220000000.snp.RData	chr2	210000001	220000000
./data/chr2-220000001-230000000.snp.RData	chr2	220000001	230000000
./data/chr2-230000001-240000000.snp.RData	chr2	230000001	240000000
./data/chr2-240000001-244442199.snp.RData	chr2	240000001	244442199
./data/chr3-1-10000000.snp.RData	chr3	1	10000000
./data/chr3-10000001-20000000.snp.RData	chr3	10000001	20000000
./data/chr3-20000001-30000000.snp.RData	chr3	20000001	30000000
./data/chr3-30000001-40000000.snp.RData	chr3	30000001	40000000
./data/chr3-40000001-50000000.snp.RData	chr3	40000001	50000000
./data/chr3-50000001-60000000.snp.RData	chr3	50000001	60000000
./data/chr3-60000001-70000000.snp.RData	chr3	60000001	70000000
./data/chr3-70000001-80000000.snp.RData	chr3	70000001	80000000
./data/chr3-80000001-90000000.snp.RData	chr3	80000001	90000000
./data/chr3-90000001-100000000.snp.RData	chr3	90000001	100000000
./data/chr3-100000001-110000000.snp.RData	chr3	100000001	110000000
./data/chr3-110000001-120000000.snp.RData	chr3	110000001	120000000
