V3_gene	V4_gene	Sequence_change_or_not_in_two_versions	Method	Type
AC148152.3_FG001	Zm00001d007725	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC148152.3_FG005	Zm00001d007718	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC148152.3_FG006	Zm00001d007717	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC148152.3_FG008	Zm00001d007716	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC148167.6_FG001	Zm00001d018986	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149475.2_FG002	Zm00001d048402	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149475.2_FG003	Zm00001d048403	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149475.2_FG005	Zm00001d048404	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149475.2_FG007	Zm00001d048407	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149810.2_FG003	Zm00001d048442	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC149810.2_FG004	Zm00001d048441	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC149810.2_FG008	Zm00001d048342	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG001	Zm00001d048393	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG004	Zm00001d048394	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG005	Zm00001d048396	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG006	Zm00001d048397	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG007	Zm00001d048398	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG008	Zm00001d048400	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149818.2_FG009	Zm00001d048401	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149828.2_FG002	Zm00001d048271	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149828.2_FG004	Zm00001d048273	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149828.2_FG005	Zm00001d048274	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
